work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2024,EN,FT,Data Analyst,60000,USD,60000,US,100,US,M
2024,MI,FT,Data Scientist,90000,USD,90000,US,100,US,L
2024,SE,FT,Machine Learning Engineer,140000,USD,140000,US,0,US,L
2023,EN,FT,Data Engineer,70000,USD,70000,CA,50,CA,M
2023,MI,FT,Business Analyst,75000,USD,75000,UK,100,UK,S
2024,SE,FT,Data Scientist,150000,USD,150000,US,100,US,L
2022,EX,FT,AI Engineer,220000,USD,220000,US,0,US,L
2023,MI,FT,Data Analyst,80000,USD,80000,IN,100,IN,M
2024,SE,FT,Data Engineer,135000,USD,135000,DE,50,DE,L
2022,EN,FT,Business Intelligence Analyst,65000,USD,65000,IN,100,IN,S
2024,MI,FT,Machine Learning Engineer,120000,USD,120000,CA,50,CA,M
2023,SE,FT,AI Engineer,170000,USD,170000,US,100,US,L
2022,MI,FT,Data Scientist,95000,USD,95000,FR,0,FR,M
2024,EN,FT,Data Analyst,62000,USD,62000,IN,100,IN,S
2023,SE,FT,Data Architect,180000,USD,180000,US,50,US,L
2022,MI,FT,Data Engineer,98000,USD,98000,UK,0,UK,M
2024,EX,FT,Head of Data,250000,USD,250000,US,0,US,L
2023,EN,FT,Machine Learning Engineer,85000,USD,85000,DE,100,DE,M
2024,MI,FT,Data Scientist,110000,USD,110000,CA,50,CA,L
2022,SE,FT,Data Analyst,105000,USD,105000,US,100,US,M
